author_surname,author,title,publication_year,rating,period_of_my_life,genre,subgenres
Aurelius,Marcus Aurelius,Meditations,180,Indifferent,20s,Non-Fiction,{Philosophy}
Adams,Douglas Adams,The Hitchhiker's Guide to the Galaxy,1979,Liked,Childhood,Fiction,{Literature}
Adams,Scott Adams,How to Fail at Almost Everything and Still Win Big,2013,Liked,20s,Non-Fiction,"{Self-Help}, {Memoirs}"
Ahrens,Sönke Ahrens,How to Take Smart Notes,2017,Liked,20s,Non-Fiction,"{Self-Help}, {Writing}, {Learning}"
Ariely,Dan Ariely,Predictably Irrational,2008,Liked,20s,Non-Fiction,{Psychology}
Asimov,Isaac Asimov,Nightfall,1990,Liked,20s,Non-Fiction,{Science-Fiction}
Asimov,Isaac Asimov,Prelude to Foundation,1988,Disliked,20s,Fiction,{Science-Fiction}
Bach,Richard Bach,Jonathan Livingston Seagull,1970,Loved,20s,Fiction,{Parables}
Bach,Richard Bach,Illusions,1977,Liked,20s,Fiction,{Parables}
Banks,Iain M. Banks,The Player of Games,1988,Disliked,20s,Fiction,{Science-Fiction}
Barnes,Julian Barnes,Flaubert's Parrot,1984,Disliked,20s,Fiction,{Literature}
Barron,T.A. Barron,The Lost Years of Merlin Saga,2000,Loved,Teens,Fiction,{Fantasy}
Barron,T.A. Barron,The Great Tree of Avalon trilogy,2006,Liked,Teens,Fiction,{Fantasy}
Beckett,Samuel Beckett,Waiting for Godot,1952,Disliked,20s,Non-Fiction,{Plays}
Bock,Dennis Bock,The Ash Garden,2001,Liked,Teens,Fiction,{Literature}
Borges,Jorge Luis Borges,The Library of Babel,1941,Liked,20s,Fiction,{Short Stories}
Bostrom,Nick Bostrom,Superintelligence,2014,Mixed Feelings,20s,Non-Fiction,{Philosophy}
Bradbury,Ray Bradbury,Fahrenheit 451,1953,Liked,Teens,Fiction,{Literature}
Brooks,Terry Brooks,The Sword of Shannara,1977,Liked,Teens,Fiction,{Fantasy}
Browder,Bill Browder,Red Notice,2014,Indifferent,20s,Non-Fiction,{Memoirs}
Brown,Dan Brown,The Da Vinci Code,2003,Liked,Teens,Fiction,{Literature}
Butler,Octavia E. Butler,Wild Seed,1980,Mixed Feelings,20s,Fiction,{Fantasy}
Campbell,Joseph Campbell,A Joseph Campbell Companion,1991,Indifferent,Teens,Non-Fiction,{Philosophy}
Camus,Albert Camus,The Plague,1947,Liked,20s,Fiction,{Literature}
Card,Orson Scott Card,Ender's Shadow,1999,Loved,Teens,Fiction,{Science-Fiction}
Card,Orson Scott Card,Ender's Saga,1996,Loved,Teens,Fiction,{Science-Fiction}
Carnegie,Dale Carnegie,How to Win Friends and Influence People,1936,Loved,20s,Non-Fiction,{Self-Help}
Caro,Robert A. Caro,The Path to Power,1982,Loved,20s,Non-Fiction,"{History}, {Biographies}"
Carroll,Lewis Carroll,Alice's Adventures in Wonderland & Through the Looking-Glass,1871,Indifferent,20s,Fiction,{Literature}
Catmull,Ed Catmull,"Creativity, Inc.",2009,Liked,20s,Non-Fiction,{Memoirs}
de Cervantes,Miguel de Cervantes,Don Quixote,1615,Liked,20s,Fiction,{Literature}
Chabon,Michael Chabon,The Amazing Adventures of Kavalier & Clay,2000,Loved,20s,Fiction,{Literature}
Chiang,Ted Chiang,Exhalation: Stories,2019,Loved,20s,Fiction,{Short Stories}
Chilton,David Chilton,The Wealthy Barber Returns,2011,Liked,20s,Non-Fiction,"{Self-Help}, {Personal Finance}"
Christian,Brian Christian,Algorithms to Live By,2016,Loved,20s,Non-Fiction,"{Self-Help}, {Computer Science & Programming}"
Cialdini,Robert B. Cialdini,Influence,1984,Liked,20s,Non-Fiction,{Psychology}
Clarke,Arthur C. Clarke,2001: A Space Odyssey,1968,Indifferent,Teens,Fiction,{Science-Fiction}
Clavell,James Clavell,Tai-Pan,1966,Liked,Teens,Fiction,{Historical Fiction}
Clear,James Clear,Atomic Habits,2018,Liked,20s,Non-Fiction,"{Self-Help}, {Business}"
Coelho,Paulo Coelho,The Alchemist,1988,Disliked,20s,Fiction,"{Parables}, {Literature}"
Collins,Suzanne Collins,The Hunger Games,2008,Liked,20s,Fiction,{Fantasy}
Confucius,Confucius,The Analects,-429,Indifferent,20s,Non-Fiction,{Philosophy}
Conrad,Joseph Conrad,Heart of Darkness,1899,Indifferent,20s,Fiction,{Literature}
Cowen,Tyler Cowen,Stubborn Attachments,n,Liked,20s,Non-Fiction,{Philosophy}
Cowen,Tyler Cowen,Discover Your Inner Economist,2007,Liked,20s,Non-Fiction,{Economics}
Crichton,Michael Crichton,Jurassic Park,1990,Liked,Teens,Fiction,{Science-Fiction}
Czuchlewski,David Czuchlewski,The Muse Asylum,2001,Liked,Teens,Fiction,{Literature}
Dawkins,Richard Dawkins,Unweaving the Rainbow,1998,Liked,Teens,Non-Fiction,{Science}
Dawkins,Richard Dawkins,The God Delusion,2006,Liked,Teens,Non-Fiction,"{Philosophy}, {Religion}"
Dickens,Charles Dickens,Great Expectations,1861,Indifferent,20s,Fiction,{Literature}
Dillard,Annie Dillard,Pilgrim at Tinker Creek,1974,Liked,20s,Non-Fiction,{Memoirs}
Dostoyevsky,Fyodor Dostoyevsky,Crime and Punishment,1866,Liked,20s,Fiction,{Literature}
Durant,Will Durant,The Lessons of History,1968,Liked,20s,Non-Fiction,{History}
Ellenberg,Jordan Ellenberg,How Not to Be Wrong,2014,Disliked,20s,Non-Fiction,"{Philosophy}, {Self-Help}, {Statistics}"
Emerson,Ralph Waldo Emerson,Self-Reliance and Other Essays,1844,Indifferent,Teens,Non-Fiction,"{Philosophy}, {Essays}"
Feynman,Richard P. Feynman,"Surely You're Joking, Mr. Feynman!",1985,Liked,20s,Non-Fiction,{Memoirs}
Findley,Timothy Findley,The Butterfly Plague,1969,Liked,Teens,Fiction,{Literature}
Finnegan,William Finnegan,Barbarian Days,2015,Mixed Feelings,20s,Non-Fiction,{Memoirs}
Fitzgerald,F. Scott Fitzgerald,The Great Gatsby,1925,Liked,20s,Fiction,{Literature}
Forster,E.M. Forster,The Machine Stops,1909,Loved,20s,Fiction,{Science-Fiction}
Forster,E.M. Forster,A Room with a View,1908,Indifferent,20s,Fiction,{Literature}
Frank,Anne Frank,The Diary of a Young Girl,1947,Loved,20s,Non-Fiction,{Memoirs}
Franklin,Benjamin Franklin,The Autobiography of Benjamin Franklin,1791,Liked,Teens,Non-Fiction,"{Memoirs}, {Biographies}"
Gaiman,Neil Gaiman,Coraline,2002,Indifferent,20s,Fiction,{Fantasy}
Gaiman,Neil Gaiman,The Ocean at the End of the Lane,2013,Loved,20s,Fiction,{Fantasy}
Gaiman,Neil Gaiman,Stardust,1997,Liked,20s,Fiction,{Fantasy}
Gibson & Sterling,William Gibson & Bruce Sterling,The Difference Engine,1990,Loved,20s,Fiction,{Science-Fiction}
Gilbert,Daniel Todd Gilbert,Stumbling on Happiness,2006,Liked,20s,Non-Fiction,{Psychology}
Gladwell,Malcolm Gladwell,Outliers,2008,Liked,20s,Non-Fiction,{Science}
Gleick,James Gleick,Chaos,1987,Indifferent,20s,Non-Fiction,"{History}, {Science}"
Gleick,James Gleick,Isaac Newton,2003,Loved,20s,Non-Fiction,"{Biographies}, {Science}"
Gleick,James Gleick,The Information,2011,Loved,20s,Non-Fiction,"{History}, {Science}"
Golding,William Golding,Lord of the Flies,1954,Loved,Teens,Non-Fiction,{Literature}
Goldstein,Rebecca Goldstein,The Mind-Body Problem,1983,Disliked,20s,Fiction,{Literature}
Goleman,Daniel Goleman,Altered Traits,2017,Disliked,20s,Non-Fiction,"{Psychology}, {Science}"
Gowdy,Barbara Gowdy,Disneyland,1989,Loved,20s,Fiction,"{Literature}, {Short Stories}"
Haidt,Jonathan Haidt,The Righteous Mind,2012,Loved,20s,Non-Fiction,{Psychology}
Haidt,Jonathan Haidt,The Happiness Hypothesis,2005,Loved,20s,Non-Fiction,{Psychology}
Harari,Yuval Noah Harari,Sapiens,2011,Disliked,20s,Non-Fiction,{Philosophy}
Harari,Yuval Noah Harari,Homo Deus,2017,Disliked,20s,Non-Fiction,{Philosophy}
Hargrove,Todd Hargrove,Playing With Movement,2014,Liked,20s,Non-Fiction,"{Self-Help}, Exercise"
Harris,Judith Rich Harris,The Nurture Assumption,1998,Liked,20s,Non-Fiction,{Science}
Harris,Sam Harris,Free Will,2012,Loved,20s,Non-Fiction,{Philosophy}
Harris,Sam Harris,Waking Up,2014,Loved,20s,Non-Fiction,"{Philosophy}, {Religion}"
Hawley,Noah Hawley,Before the Fall,2016,Loved,20s,Fiction,{Literature}
Hemingway,Ernest Hemingway,The Old Man and the Sea,1952,Indifferent,Teens,Fiction,{Literature}
Herbert,Frank Herbert,Dune,1965,Indifferent,Teens,Fiction,{Science-Fiction}
Hesse,Hermann Hesse,Siddhartha,1922,Liked,Teens,Fiction,"{Parables}, {Literature}"
Hill,Lawrence Hill,The Book of Negroes,2007,Liked,Teens,Fiction,"{Literature}, {Historical Fiction}"
Hinton,S.E. Hinton,The Outsiders,1967,Liked,Teens,Fiction,{Literature}
